,Symbol,Name,Annotated.Term,Manual,Pubmed
124,Lefty1,left right determination factor 1,BMP signaling pathway,neg,32693087
125,Lefty2,left-right determination factor 2,BMP signaling pathway,,
129,Mapk3,mitogen-activated protein kinase 3,BMP signaling pathway,,
130,Megf8,multiple EGF-like-domains 8,BMP signaling pathway,pos,24052814
131,Mir16-1,microRNA 16-1,BMP signaling pathway,,
132,Mir23a,microRNA 23a,BMP signaling pathway,neg,28704388
133,Mir122,microRNA 122,BMP signaling pathway,pos,34973370
134,Mir125a,microRNA 125a,BMP signaling pathway,,
135,Mir147,microRNA 147,BMP signaling pathway,,
136,Mir210,microRNA 210,BMP signaling pathway,pos,19520079
137,Mir329,microRNA 329,BMP signaling pathway,,
139,Mirlet7a-1,microRNA let7a-1,BMP signaling pathway,,
140,Mirlet7b,microRNA let7b,BMP signaling pathway,,
141,Mirlet7d,microRNA let7d,BMP signaling pathway,,
142,Mirlet7f-1,microRNA let7f-1,BMP signaling pathway,,
143,Mirlet7f-2,microRNA let7f-2,BMP signaling pathway,,
156,Nfia,nuclear factor I/A,BMP signaling pathway,,
157,Nodal,nodal,BMP signaling pathway,neg,32268105
167,Pdcd4,programmed cell death 4,BMP signaling pathway,downstream,21984808
173,Rgma,repulsive guidance molecule family member A,BMP signaling pathway,pos,15975920
174,Rgma,repulsive guidance molecule family member A,regulation of BMP signaling pathway,pos ,15975920
175,Rgmb,repulsive guidance molecule family member B,BMP signaling pathway,pos,22171041
177,Ror2,receptor tyrosine kinase-like orphan receptor 2,BMP signaling pathway,pos,27578181
178,Runx2,runt related transcription factor 2,BMP signaling pathway,downstream,16598384
180,Scx,scleraxis scleraxis bHLH transcription factor,BMP signaling pathway,pos,22474292
185,Sfrp4,secreted frizzled-related protein 4,regulation of BMP signaling pathway,neg,27355534
190,Slc39a5,"solute carrier family 39 (metal ion transporter), member 5",BMP signaling pathway,,
191,Smad1,SMAD family member 1,BMP signaling pathway,pos,19224984
195,Smad5,SMAD family member 5,BMP signaling pathway,pos,19224984
199,Smad9,SMAD family member 9,BMP signaling pathway,neg,25534700
200,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",BMP signaling pathway,downstream,24505141
216,Tfap2b,transcription factor AP-2 beta,regulation of BMP signaling pathway,?,21829553
217,Tgfb1,"transforming growth factor, beta 1",BMP signaling pathway,,
218,Tgfb2,"transforming growth factor, beta 2",BMP signaling pathway,,
219,Tgfb3,"transforming growth factor, beta 3",BMP signaling pathway,,
223,Tmem100,transmembrane protein 100,BMP signaling pathway,pos,22783020
234,Usp9x,"ubiquitin specific peptidase 9, X chromosome",BMP signaling pathway,pos,19135894
235,Usp15,ubiquitin specific peptidase 15,BMP signaling pathway,pos,24850914
242,Wnt3a,"wingless-type MMTV integration site family, member 3A",BMP signaling pathway,pos,12077113
245,Zcchc12,"zinc finger, CCHC domain containing 12",BMP signaling pathway,pos,18160706
246,Zfp128,zinc finger protein 128,BMP signaling pathway,neg,12370310
