MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,,,ISO,P12643 ,J:73065 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,positive regulation of osteoblast differentiation,,,IDA,,J:100164 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,positive regulation of osteoblast differentiation,,,IDA,,J:91833 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,positive regulation of osteoblast differentiation,,,IMP,,J:172937 
MGI:88179,Bmp3,bone morphogenetic protein 3,5,,osteoblast differentiation,,,IEA,IPR017197 ,J:72247 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,osteoblast differentiation,,,IDA,,J:95191 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,osteoblast differentiation,,,ISO,P12644 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,positive regulation of osteoblast differentiation,,,ISO,RGD:2213 ,J:155856 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,positive regulation of osteoblast differentiation,,,ISO,P12644 ,J:73065 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IGI,MGI:88177 ,J:102448 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,positive regulation of osteoblast differentiation,,,ISO,RGD:2214 ,J:155856 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,positive regulation of osteoblast differentiation,,,ISO,P22004 ,J:164563 
MGI:103302,Bmp7,bone morphogenetic protein 7,2,,positive regulation of osteoblast differentiation,,,ISO,P18075 ,J:164563 
MGI:104515,Bmp8a,bone morphogenetic protein 8a,4,,osteoblast differentiation,,,IDA,,J:196276 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,osteoblast differentiation,,,IDA,,J:299402 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,positive regulation of osteoblast differentiation,,,ISO,P36894 ,J:164563 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,osteoblast differentiation,is a part of bone development,,IDA,,J:163789 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,osteoblast differentiation,,,ISO,O00238 ,J:164563 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,positive regulation of osteoblast differentiation,,,ISO,O00238 ,J:164563 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,osteoblast differentiation,,,IDA,,J:299402 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,osteoblast differentiation,,,ISO,Q13873 ,J:164563 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,positive regulation of osteoblast differentiation,,,ISO,Q13873 ,J:164563 
MGI:99851,Cbfb,core binding factor beta,8,,osteoblast differentiation,"happens in skeleton,results in the differentiation of osteoblast",,IMP,MGI:2447293 ,J:80669 
MGI:88613,Ccn1,cellular communication network factor 1,3,,osteoblast differentiation,,,IGI,MGI:98956 ,J:107256 
MGI:88613,Ccn1,cellular communication network factor 1,3,,positive regulation of osteoblast differentiation,,,ISO,O00622 ,J:164563 
MGI:1197008,Ccn4,cellular communication network factor 4,15,,osteoblast differentiation,,,IMP,,J:273609 
MGI:1197008,Ccn4,cellular communication network factor 4,15,,positive regulation of osteoblast differentiation,,,ISO,O95388 ,J:164563 
MGI:2183926,Cd276,CD276 antigen,9,,positive regulation of osteoblast differentiation,,,IMP,MGI:3033707 ,J:92445 
MGI:1277162,Cdk6,cyclin-dependent kinase 6,5,,negative regulation of osteoblast differentiation,,,ISO,Q00534 ,J:164563 
MGI:99480,Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha",7,,positive regulation of osteoblast differentiation,,,IDA,,J:91833 
MGI:88373,Cebpb,"CCAAT/enhancer binding protein (C/EBP), beta",2,,positive regulation of osteoblast differentiation,,,IDA,,J:91833 
MGI:103573,Cebpd,"CCAAT/enhancer binding protein (C/EBP), delta",16,,positive regulation of osteoblast differentiation,,,IDA,,J:91833 
MGI:1313268,Chrd,chordin,16,,negative regulation of osteoblast differentiation,,,IDA,,J:98069 
MGI:1313268,Chrd,chordin,16,,negative regulation of osteoblast differentiation,,,ISO,Q9H2X0 ,J:164563 
MGI:1313268,Chrd,chordin,16,,osteoblast differentiation,,,IDA,,J:95191 
MGI:108023,Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,X,,negative regulation of osteoblast differentiation,,,IMP,,J:154895 
MGI:1345151,Clec5a,"C-type lectin domain family 5, member a",6,,osteoblast development,,,IDA,,J:147155 
MGI:2148924,Clic1,chloride intracellular channel 1,17,,positive regulation of osteoblast differentiation,,,IDA,,J:154870 
MGI:88467,Col1a1,"collagen, type I, alpha 1",11,,osteoblast differentiation,,,IEP,,J:143682 
MGI:1347062,Creb3l1,cAMP responsive element binding protein 3-like 1,2,,osteoblast differentiation,,,IMP,,J:158242 
MGI:1354756,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),17,,negative regulation of osteoblast differentiation,,,ISO,Q9NZV1 ,J:164563 
MGI:1915838,Cthrc1,collagen triple helix repeat containing 1,15,,osteoblast differentiation,"happens in bone marrow,results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IMP,MGI:3830252 ,J:143940 
MGI:1915838,Cthrc1,collagen triple helix repeat containing 1,15,,positive regulation of osteoblast differentiation,positively regulates osteoblast differentiation,,IMP,MGI:3830252 ,J:143940 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,canonical Wnt signaling pathway involved in osteoblast differentiation,,,ISO,P35222 ,J:164563 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IMP,MGI:2148591 MGI:2148594 MGI:2450929 ,J:98426 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,positive regulation of osteoblast differentiation,positively regulates osteoblast differentiation,,IMP,MGI:2148591 MGI:2148594 MGI:2450929 ,J:98426 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,regulation of osteoblast differentiation,"happens in femur,regulates osteoblast differentiation,regulates osteoclast differentiation,happens in femur,regulates osteoblast differentiation",,IMP,MGI:2148567 ,J:99904 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,regulation of osteoblast differentiation,"happens in skeleton,regulates osteoblast differentiation",,IMP,MGI:2148567 MGI:3044412 ,J:94274 
MGI:1915756,Ctnnbip1,catenin beta interacting protein 1,4,,positive regulation of osteoblast differentiation,,,ISO,Q9NSA3 ,J:164563 
MGI:1345277,Ddr2,"discoidin domain receptor family, member 2",1,,positive regulation of osteoblast differentiation,,,ISO,Q16832 ,J:164563 
MGI:105037,Ddx5,DEAD box helicase 5,11,,regulation of osteoblast differentiation,,,IMP,,J:182495 
MGI:94891,Dhh,desert hedgehog,15,,osteoblast differentiation,,,IDA,,J:226676 
MGI:94900,Dlk1,delta like non-canonical Notch ligand 1,12,,negative regulation of osteoblast differentiation,,,ISO,P80370 ,J:73065 
MGI:94900,Dlk1,delta like non-canonical Notch ligand 1,12,,osteoblast differentiation,,,IMP,MGI:3526402 ,J:233118 
MGI:101926,Dlx5,distal-less homeobox 5,6,,osteoblast differentiation,,,IDA,,J:94905 
MGI:101926,Dlx5,distal-less homeobox 5,6,,positive regulation of osteoblast differentiation,,,ISO,RGD:2506 ,J:155856 
MGI:3045269,Dnai3,dynein axonemal intermediate chain 3,3,,positive regulation of osteoblast differentiation,,,IDA,,J:292553 
MGI:97370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1,10,,osteoblast differentiation,is a part of response to L-ascorbic acid,,IDA,,J:178159 
MGI:97370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1,10,,osteoblast differentiation,"is a part of bone mineralization,happens in osteoblast",,IMP,MGI:2183411 ,J:98814 
MGI:97370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1,10,,osteoblast differentiation,is a part of response to L-ascorbic acid,,IMP,MGI:2385534 ,J:178159 
MGI:97370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1,10,,osteoblast differentiation,is a part of response to L-ascorbic acid,,IMP,,J:178159 
MGI:95278,Epha2,Eph receptor A2,4,,osteoblast differentiation,,,IMP,,J:175143 
MGI:108089,Erh,ERH mRNA splicing and mitosis factor,12,,osteoblast differentiation,results in a cell's determination to become mesenchymal stem cell,,HDA,,J:209488 
MGI:1346831,Esrra,"estrogen related receptor, alpha",19,,regulation of osteoblast differentiation,,,ISO,RGD:1583866 ,J:155856 
MGI:2136853,Fam20c,"FAM20C, golgi associated secretory pathway kinase",5,,positive regulation of osteoblast differentiation,,,IDA,,J:185208 
MGI:95490,Fbn2,fibrillin 2,18,,positive regulation of osteoblast differentiation,,,IMP,,J:165256 
MGI:1914391,Fbxo5,F-box protein 5,10,,positive regulation of osteoblast differentiation,,,ISO,Q9UKT4 ,J:164563 
MGI:2385001,Fermt2,fermitin family member 2,14,,positive regulation of osteoblast differentiation,happens in femur,,IMP,,J:260481 
MGI:2385001,Fermt2,fermitin family member 2,14,,positive regulation of osteoblast differentiation,,,ISO,Q96AC1 ,J:164563 
MGI:2147577,Ffar4,free fatty acid receptor 4,19,,positive regulation of osteoblast differentiation,,,IMP,,J:283205 
MGI:95516,Fgf2,fibroblast growth factor 2,3,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061,happens in vault of skull",,IGI,MGI:95729 ,J:163175 
MGI:95516,Fgf2,fibroblast growth factor 2,3,,positive regulation of osteoblast differentiation,positively regulates osteoblast differentiation,,IGI,MGI:95729 ,J:163175 
MGI:104723,Fgf9,fibroblast growth factor 9,14,,osteoblast differentiation,"happens in femur,results in the differentiation of osteoblast",,IMP,MGI:2135961 ,J:122952 
MGI:1891427,Fgf23,fibroblast growth factor 23,6,,negative regulation of osteoblast differentiation,,,ISO,Q9GZV9 ,J:164563 
MGI:95522,Fgfr1,fibroblast growth factor receptor 1,8,,negative regulation of osteoblast differentiation,,,ISO,RGD:620713 ,J:155856 
MGI:1338762,Fhl2,four and a half LIM domains 2,1,,osteoblast differentiation,,,IEP,,J:143682 
MGI:1890648,Fignl1,fidgetin-like 1,11,,osteoblast differentiation,,,IMP,,J:169892 
MGI:1919257,Fndc3b,fibronectin type III domain containing 3B,3,,negative regulation of osteoblast differentiation,,,IMP,MGI:4822558 ,J:162425 
MGI:1196625,Fzd1,frizzled class receptor 1,5,,canonical Wnt signaling pathway involved in osteoblast differentiation,,,ISO,Q9UP38 ,J:164563 
MGI:1860139,Gabbr1,"gamma-aminobutyric acid (GABA) B receptor, 1",17,,osteoblast differentiation,,,ISO,RGD:621537 ,J:155856 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,osteoblast differentiation,,,IGI,MGI:1341800 ,J:146013 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,osteoblast differentiation,,,IGI,MGI:96396 ,J:91852 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,osteoblast differentiation,,,IGI,MGI:96397 ,J:91852 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,osteoblast differentiation,,,IGI,MGI:96398 ,J:91852 
MGI:95684,Gdf10,growth differentiation factor 10,14,,negative regulation of osteoblast differentiation,,,IDA,,J:205652 
MGI:95684,Gdf10,growth differentiation factor 10,14,,osteoblast differentiation,,,IEA,IPR017197 ,J:72247 
MGI:95684,Gdf10,growth differentiation factor 10,14,,positive regulation of osteoblast differentiation,,,ISO,RGD:621512 ,J:155856 
MGI:1918834,Gdpd2,glycerophosphodiester phosphodiesterase domain containing 2,X,,positive regulation of osteoblast differentiation,,,IDA,,J:86372 
MGI:1918834,Gdpd2,glycerophosphodiester phosphodiesterase domain containing 2,X,,positive regulation of osteoblast differentiation,,,IMP,,J:86372 
MGI:95713,Gja1,"gap junction protein, alpha 1",10,,osteoblast differentiation,,,IMP,MGI:1857177 ,J:181527 
MGI:95713,Gja1,"gap junction protein, alpha 1",10,,osteoblast differentiation,,,IMP,MGI:2445468 ,J:82985 
MGI:95713,Gja1,"gap junction protein, alpha 1",10,,osteoblast differentiation,,,IMP,MGI:3776013 ,J:82985 
MGI:95727,Gli1,GLI-Kruppel family member GLI1,10,,osteoblast differentiation,,,ISO,P08151 ,J:164563 
MGI:95727,Gli1,GLI-Kruppel family member GLI1,10,,regulation of osteoblast differentiation,,,IMP,,J:185618 
MGI:95728,Gli2,GLI-Kruppel family member GLI2,1,,osteoblast development,,,IDA,,J:111401 
MGI:95728,Gli2,GLI-Kruppel family member GLI2,1,,osteoblast development,,,IMP,,J:111401 
MGI:95728,Gli2,GLI-Kruppel family member GLI2,1,,osteoblast differentiation,,,IGI,MGI:1915509 ,J:186236 
MGI:95728,Gli2,GLI-Kruppel family member GLI2,1,,osteoblast differentiation,,,ISO,P10070 ,J:164563 
MGI:95729,Gli3,GLI-Kruppel family member GLI3,13,,osteoblast differentiation,"happens in vault of skull,results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IGI,MGI:95516 ,J:163175 
MGI:95729,Gli3,GLI-Kruppel family member GLI3,13,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061,happens in vault of skull",,IMP,MGI:1856276 ,J:163175 
MGI:95729,Gli3,GLI-Kruppel family member GLI3,13,,positive regulation of osteoblast differentiation,positively regulates osteoblast differentiation,,IGI,MGI:95516 ,J:163175 
MGI:95729,Gli3,GLI-Kruppel family member GLI3,13,,positive regulation of osteoblast differentiation,positively regulates osteoblast differentiation,,IMP,MGI:1856276 ,J:163175 
MGI:2386723,Glis1,GLIS family zinc finger 1,4,,osteoblast differentiation,,,IMP,,J:273557 
MGI:95777,Gnas,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus",2,,positive regulation of osteoblast differentiation,,,IMP,MGI:3043361 ,J:106979 
MGI:1344337,Grem1,"gremlin 1, DAN family BMP antagonist",2,,negative regulation of osteoblast differentiation,,,ISO,RGD:2359 ,J:155856 
MGI:1344337,Grem1,"gremlin 1, DAN family BMP antagonist",2,,negative regulation of osteoblast differentiation,,,ISO,O60565 ,J:164563 
MGI:1861437,Gsk3b,glycogen synthase kinase 3 beta,16,,negative regulation of canonical Wnt signaling pathway involved in osteoblast differentiation,,,ISO,P49841 ,J:164563 
MGI:1861437,Gsk3b,glycogen synthase kinase 3 beta,16,,regulation of osteoblast differentiation,,,ISO,RGD:70982 ,J:155856 
MGI:1097686,H3f3a,H3.3 histone A,1,,osteoblast differentiation,,,IGI,MGI:1101768 ,J:185969 
MGI:1097686,H3f3a,H3.3 histone A,1,,osteoblast differentiation,,,IGI,MGI:1913653 ,J:185969 
MGI:1097686,H3f3a,H3.3 histone A,1,,osteoblast differentiation,,,IGI,MGI:99430 ,J:185969 
MGI:1101768,H3f3b,H3.3 histone B,11,,osteoblast differentiation,,,IGI,MGI:1097686 ,J:185969 
MGI:1101768,H3f3b,H3.3 histone B,11,,osteoblast differentiation,,,IGI,MGI:1913653 ,J:185969 
MGI:1101768,H3f3b,H3.3 histone B,11,,osteoblast differentiation,,,IGI,MGI:99430 ,J:185969 
MGI:103580,Hand2,heart and neural crest derivatives expressed 2,8,,negative regulation of osteoblast differentiation,,,IDA,,J:144188 
MGI:103580,Hand2,heart and neural crest derivatives expressed 2,8,,negative regulation of osteoblast differentiation,negatively regulates osteoblast differentiation,,IMP,MGI:2653307 ,J:144188 
MGI:103580,Hand2,heart and neural crest derivatives expressed 2,8,,osteoblast differentiation,happens in mandible,,IMP,MGI:2653307 ,J:144188 
MGI:3036234,Hdac4,histone deacetylase 4,1,,negative regulation of osteoblast differentiation,negatively regulates osteoblast differentiation,,IMP,,J:99840 
MGI:3036234,Hdac4,histone deacetylase 4,1,,osteoblast development,results in the development of osteoblast,,IMP,,J:99840 
MGI:3036234,Hdac4,histone deacetylase 4,1,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IMP,,J:99840 
MGI:1333784,Hdac5,histone deacetylase 5,11,,negative regulation of osteoblast differentiation,negatively regulates osteoblast differentiation,,IMP,,J:99840 
MGI:1333784,Hdac5,histone deacetylase 5,11,,osteoblast development,results in the development of osteoblast,,IMP,,J:99840 
MGI:1333784,Hdac5,histone deacetylase 5,11,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IMP,,J:99840 
MGI:1891835,Hdac7,histone deacetylase 7,15,,negative regulation of osteoblast differentiation,,,ISO,Q8WUI4 ,J:164563 
MGI:1917565,Hdac8,histone deacetylase 8,X,,negative regulation of osteoblast differentiation,,,ISO,RGD:1562895 ,J:155856 
MGI:2136910,Hemgn,hemogen,4,,regulation of osteoblast differentiation,,,IBA,PTN000410282 ,J:265628 
MGI:2136910,Hemgn,hemogen,4,,regulation of osteoblast differentiation,,,ISO,RGD:621569 ,J:155856 
MGI:1341800,Hey1,hairy/enhancer-of-split related with YRPW motif 1,3,,osteoblast development,,,IGI,MGI:99829 ,J:146013 
MGI:1341800,Hey1,hairy/enhancer-of-split related with YRPW motif 1,3,,positive regulation of osteoblast differentiation,,,IGI,MGI:1321394 ,J:146013 
MGI:1341800,Hey1,hairy/enhancer-of-split related with YRPW motif 1,3,,positive regulation of osteoblast differentiation,,,IGI,MGI:99829 ,J:146013 
MGI:99430,Hira,histone cell cycle regulator,16,,osteoblast differentiation,,,IGI,MGI:1097686 ,J:185969 
MGI:99430,Hira,histone cell cycle regulator,16,,osteoblast differentiation,,,IGI,MGI:1101768 ,J:185969 
MGI:99430,Hira,histone cell cycle regulator,16,,osteoblast differentiation,,,IGI,MGI:3650546 ,J:185969 
MGI:96174,Hoxa2,homeobox A2,6,,negative regulation of osteoblast differentiation,,,IDA,,J:171138 
MGI:96174,Hoxa2,homeobox A2,6,,osteoblast development,"happens in skeleton,results in the development of osteoblast",,IGI,MGI:2679336 ,J:115876 
MGI:96396,Id1,"inhibitor of DNA binding 1, HLH protein",2,,negative regulation of osteoblast differentiation,,,IGI,MGI:1321394 ,J:91852 
MGI:96397,Id2,inhibitor of DNA binding 2,12,,negative regulation of osteoblast differentiation,,,IGI,MGI:1321394 ,J:91825 
MGI:96398,Id3,inhibitor of DNA binding 3,4,,negative regulation of osteoblast differentiation,,,IGI,MGI:1321394 ,J:91852 
MGI:99414,Id4,inhibitor of DNA binding 4,13,,osteoblast differentiation,"happens in bone,results in the differentiation of osteoblast",,IMP,,J:162236 
MGI:96429,Ifi204,interferon activated gene 204,1,,positive regulation of osteoblast differentiation,,,IGI,MGI:88177 ,J:96487 
MGI:1915963,Ifitm1,interferon induced transmembrane protein 1,7,,positive regulation of osteoblast differentiation,,,ISO,P13164 ,J:164563 
MGI:1915509,Ift80,intraflagellar transport 80,3,,osteoblast differentiation,,,IGI,MGI:95728 ,J:186236 
MGI:1915509,Ift80,intraflagellar transport 80,3,,osteoblast differentiation,happens in preosteoblast,,IMP,MGI:3689350 MGI:5818514 ,J:236749 
MGI:1915509,Ift80,intraflagellar transport 80,3,,osteoblast differentiation,,,IMP,,J:186236 
MGI:96432,Igf1,insulin-like growth factor 1,10,,osteoblast differentiation,,,IEP,,J:143682 
MGI:96432,Igf1,insulin-like growth factor 1,10,,positive regulation of osteoblast differentiation,,,ISO,RGD:2868 ,J:155856 
MGI:96432,Igf1,insulin-like growth factor 1,10,,positive regulation of osteoblast differentiation,,,ISO,P05019 ,J:164563 
MGI:96434,Igf2,insulin-like growth factor 2,7,,osteoblast differentiation,,,IEP,,J:143682 
MGI:96438,Igfbp3,insulin-like growth factor binding protein 3,11,,osteoblast differentiation,,,IEP,,J:143682 
MGI:96440,Igfbp5,insulin-like growth factor binding protein 5,1,,negative regulation of osteoblast differentiation,,,IGI,MGI:87986 ,J:146446 
MGI:96440,Igfbp5,insulin-like growth factor binding protein 5,1,,negative regulation of osteoblast differentiation,,,IGI,MGI:88177 ,J:146446 
MGI:96440,Igfbp5,insulin-like growth factor binding protein 5,1,,osteoblast differentiation,,,IEP,,J:143682 
MGI:96533,Ihh,Indian hedgehog,1,,osteoblast differentiation,,,IDA,,J:226676 
MGI:96533,Ihh,Indian hedgehog,1,,osteoblast differentiation,,,IGI,MGI:1928765 ,J:226676 
MGI:96533,Ihh,Indian hedgehog,1,,osteoblast differentiation,,,IMP,MGI:1934258 ,J:88635 
MGI:96533,Ihh,Indian hedgehog,1,,osteoblast differentiation,,,IMP,,J:226676 
MGI:96559,Il6,interleukin 6,5,,positive regulation of osteoblast differentiation,,,ISO,P05231 ,J:164563 
MGI:96560,Il6st,interleukin 6 signal transducer,13,,positive regulation of osteoblast differentiation,,,ISO,P40189 ,J:164563 
MGI:1195267,Ilk,integrin linked kinase,7,,positive regulation of osteoblast differentiation,,,IMP,,J:172937 
MGI:1095416,Jag1,jagged 1,2,,positive regulation of osteoblast differentiation,,,IDA,,J:202853 
MGI:96647,Junb,jun B proto-oncogene,8,,osteoblast differentiation,,,IMP,MGI:2176174 MGI:3036209 ,J:88126 
MGI:96648,Jund,jun D proto-oncogene,8,,osteoblast development,,,IGI,MGI:1316736 ,J:96882 
MGI:96648,Jund,jun D proto-oncogene,8,,positive regulation of osteoblast differentiation,,,IGI,MGI:1316736 ,J:96882 
MGI:1891468,Lgr4,leucine-rich repeat-containing G protein-coupled receptor 4,2,,osteoblast differentiation,,,IMP,,J:152843 
MGI:1352502,Limd1,LIM domains containing 1,9,,negative regulation of osteoblast differentiation,,,IMP,,J:138996 
MGI:1352502,Limd1,LIM domains containing 1,9,,osteoblast development,,,IMP,,J:118130 
MGI:1352502,Limd1,LIM domains containing 1,9,,osteoblast development,,,IMP,,J:138996 
MGI:96794,Lmna,lamin A,3,,positive regulation of osteoblast differentiation,,,ISO,RGD:620456 ,J:155856 
MGI:96817,Lox,lysyl oxidase,18,,osteoblast differentiation,,,IMP,MGI:3610732 ,J:214651 
MGI:3584516,Lrp3,low density lipoprotein receptor-related protein 3,7,,positive regulation of osteoblast differentiation,,,ISO,O75074 ,J:164563 
MGI:1278315,Lrp5,low density lipoprotein receptor-related protein 5,19,,osteoblast development,,,IBA,PTN008709257 ,J:265628 
MGI:1278315,Lrp5,low density lipoprotein receptor-related protein 5,19,,osteoblast development,happens in bone,,IMP,MGI:3612485 ,J:116515 
MGI:1278315,Lrp5,low density lipoprotein receptor-related protein 5,19,,osteoblast development,,,IMP,,J:164779 
MGI:1278315,Lrp5,low density lipoprotein receptor-related protein 5,19,,positive regulation of osteoblast differentiation,,,IMP,,J:262349 
MGI:1921761,Lrrc17,leucine rich repeat containing 17,5,NOT,osteoblast differentiation,,,IDA,,J:150506 
MGI:96837,Ltf,lactotransferrin,9,,positive regulation of osteoblast differentiation,,,ISO,P02788 ,J:164563 
MGI:1346870,Map2k6,mitogen-activated protein kinase kinase 6,11,,osteoblast differentiation,is a part of bone development,,IMP,,J:163789 
