MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IDA,,J:217224 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IDA,,J:299317 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,"is a part of osteoblast differentiation,negatively regulates muscle cell differentiation",,IDA,,J:299402 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IDA,,J:86665 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,IGI,MGI:2679262 ,J:101046 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,"is a part of cardiac jelly development,happens in atrioventricular canal,is a part of positive regulation of extracellular matrix constituent secretion",,IMP,,J:110615 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,ISO,RGD:2211 ,J:155856 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,ISO,P12643 ,J:123381 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway,,,ISO,P12643 ,J:164563 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway involved in heart development,"is upstream of negative regulation of gene expression|results in the formation of heart atrium|is a part of atrioventricular canal morphogenesis|is a part of endocardial cushion formation|is a part of epithelial to mesenchymal transition,happens in atrioventricular canal",,IMP,,J:110615 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,BMP signaling pathway involved in heart induction,,,ISO,P12643 ,J:164563 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,positive regulation of Wnt signaling pathway by BMP signaling pathway,positively regulates Wnt signaling pathway,,IDA,,J:150546 
MGI:88179,Bmp3,bone morphogenetic protein 3,5,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway,happens in smooth muscle cell,,IDA,,J:123381 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway,,,IDA,,J:86665 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway,,,IGI,MGI:2679262 ,J:101046 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway,,,ISO,P12644 ,J:123381 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway,,,ISO,P12644 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway involved in heart development,,,IMP,,J:89237 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway involved in heart induction,,,ISO,P12644 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway involved in nephric duct formation,,,ISO,P12644 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway involved in renal system segmentation,,,IMP,,J:121412 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,BMP signaling pathway involved in ureter morphogenesis,,,IDA,,J:121412 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway,,,ISO,P12644 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,positive regulation of BMP signaling pathway,,,IDA,,J:156015 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway,,,ISO,P12644 ,J:164563 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,BMP signaling pathway,,,IDA,,J:154664 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,BMP signaling pathway,,,IDA,,J:86665 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,BMP signaling pathway,happens in liver,,IMP,,J:151027 
MGI:88182,Bmp6,bone morphogenetic protein 6,13,,BMP signaling pathway,,,ISO,P22004 ,J:164563 
MGI:103302,Bmp7,bone morphogenetic protein 7,2,,BMP signaling pathway,,,IDA,,J:86665 
MGI:103302,Bmp7,bone morphogenetic protein 7,2,,BMP signaling pathway,,,ISO,P18075 ,J:164563 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,BMP signaling pathway,,,ISO,O95393 ,J:73065 
MGI:1316745,Bmp15,bone morphogenetic protein 15,X,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:1920480,Bmper,BMP-binding endothelial regulator,9,,BMP signaling pathway,,,IMP,MGI:3711028 ,J:165712 
MGI:1920480,Bmper,BMP-binding endothelial regulator,9,,negative regulation of BMP signaling pathway,,,IDA,,J:84799 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IBA,PTN001147404 ,J:265628 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IDA,,J:42602 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IGI,MGI:1916835 ,J:109016 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IGI,MGI:88177 ,J:109016 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IGI,MGI:95689 ,J:101432 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IGI,MGI:95690 ,J:101432 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,"happens in embryo,happens in extraembryonic visceral endoderm",,IMP,MGI:2158342 ,J:124681 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IMP,MGI:2158343 ,J:119568 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IMP,,J:101432 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IMP,,J:229306 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,IMP,,J:299435 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway,,,ISO,P36894 ,J:164563 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway involved in heart development,,,IC,GO:0003203 ,J:89521 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,BMP signaling pathway involved in heart development,,,IMP,,J:75084 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IBA,PTN001147404 ,J:265628 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IDA,,J:229366 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IDA,,J:299322 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IGI,MGI:109452 ,J:109016 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IGI,MGI:1916835 ,J:109016 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IGI,MGI:88177 ,J:109016 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IGI,MGI:95689 ,J:101432 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IGI,MGI:95690 ,J:101432 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,IMP,,J:69633 
MGI:107191,Bmpr1b,"bone morphogenetic protein receptor, type 1B",3,,BMP signaling pathway,,,ISO,O00238 ,J:164563 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,,,IBA,PTN001147423 ,J:265628 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,,,IDA,,J:299317 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,happens in smooth muscle cell,,IMP,,J:123381 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,,,IMP,,J:137457 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,,,IMP,,J:229306 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,,,ISO,Q13161 ,J:123381 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,BMP signaling pathway,,,ISO,Q13873 ,J:164563 
MGI:1095407,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",1,,positive regulation of BMP signaling pathway,,,ISO,Q13873 ,J:164563 
MGI:102709,Cav1,"caveolin 1, caveolae protein",6,,negative regulation of BMP signaling pathway,,,ISO,Q03135 ,J:164563 
MGI:88613,Ccn1,cellular communication network factor 1,3,,positive regulation of BMP signaling pathway,,,ISO,O00622 ,J:164563 
MGI:105057,Cdh5,cadherin 5,8,,positive regulation of BMP signaling pathway,,,ISO,P33151 ,J:164563 
MGI:1201414,Cer1,"cerberus 1, DAN family BMP antagonist",4,,negative regulation of BMP signaling pathway,,,IDA,,J:44900 
MGI:1201414,Cer1,"cerberus 1, DAN family BMP antagonist",4,,negative regulation of BMP signaling pathway,,,IDA,,J:46377 
MGI:1201414,Cer1,"cerberus 1, DAN family BMP antagonist",4,,sequestering of BMP in extracellular matrix,,,IBA,PTN000392278 ,J:265628 
MGI:1201414,Cer1,"cerberus 1, DAN family BMP antagonist",4,,sequestering of BMP in extracellular matrix,,,IDA,,J:62082 
MGI:1201414,Cer1,"cerberus 1, DAN family BMP antagonist",4,,sequestering of BMP in extracellular matrix,,,ISO,O95813 ,J:164563 
MGI:1313268,Chrd,chordin,16,,BMP signaling pathway,"is a part of visual learning,is a part of exploration behavior,is a part of regulation of neuronal synaptic plasticity,is a part of long-term synaptic potentiation,is a part of presynaptic modulation of chemical synaptic transmission,is a part of short-term synaptic potentiation",,IDA,,J:123318 
MGI:1313268,Chrd,chordin,16,,BMP signaling pathway,"is a part of smoothened signaling pathway,is a part of cell population proliferation,is a part of fibroblast growth factor receptor signaling pathway,is a part of forebrain development,is a part of cranial skeletal system development",,IGI,MGI:104327 ,J:79855 
MGI:1313268,Chrd,chordin,16,,BMP signaling pathway involved in heart development,"is a part of embryonic heart tube development,is a part of descending aorta development,is a part of artery morphogenesis,is a part of venous blood vessel morphogenesis",,IMP,MGI:2157350 ,J:124180 
MGI:1313268,Chrd,chordin,16,,BMP signaling pathway involved in spinal cord dorsal/ventral patterning,,,ISO,Q9H2X0 ,J:164563 
MGI:1313268,Chrd,chordin,16,,negative regulation of BMP signaling pathway,,,IBA,PTN002478091 ,J:265628 
MGI:1313268,Chrd,chordin,16,,negative regulation of BMP signaling pathway,,,IDA,,J:157031 
MGI:1313268,Chrd,chordin,16,,negative regulation of BMP signaling pathway,,,IDA,,J:95191 
MGI:1313268,Chrd,chordin,16,,negative regulation of BMP signaling pathway,,,IDA,,J:98069 
MGI:1313268,Chrd,chordin,16,,negative regulation of BMP signaling pathway,,,ISO,Q9H2X0 ,J:164563 
MGI:1933172,Chrdl1,chordin-like 1,X,,BMP signaling pathway,,,IMP,MGI:6315865 ,J:269376 
MGI:1933172,Chrdl1,chordin-like 1,X,,negative regulation of BMP signaling pathway,,,IBA,PTN002922724 ,J:265628 
MGI:1933172,Chrdl1,chordin-like 1,X,,negative regulation of BMP signaling pathway,,,IDA,,J:197419 
MGI:1933172,Chrdl1,chordin-like 1,X,,negative regulation of BMP signaling pathway,,,IDA,,J:69274 
MGI:1916371,Chrdl2,chordin-like 2,7,,negative regulation of BMP signaling pathway,,,IBA,PTN002922724 ,J:265628 
MGI:1916371,Chrdl2,chordin-like 2,7,,negative regulation of BMP signaling pathway,,,IDA,,J:87049 
MGI:88469,Comp,cartilage oligomeric matrix protein,8,,BMP signaling pathway,,,IMP,,J:183590 
MGI:2679260,Crb2,crumbs family member 2,2,,positive regulation of BMP signaling pathway,uses UniProtKB:P21275,,IMP,,J:177837 
MGI:1354756,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),17,,negative regulation of BMP signaling pathway,,,ISO,Q9NZV1 ,J:164563 
MGI:1196405,Ctdspl2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",2,,negative regulation of BMP signaling pathway,,,IMP,,J:217224 
MGI:1344365,Dand5,"DAN domain family member 5, BMP antagonist",8,,negative regulation of BMP signaling pathway,,,IDA,,J:93051 
MGI:1344365,Dand5,"DAN domain family member 5, BMP antagonist",8,,sequestering of BMP in extracellular matrix,,,IBA,PTN000392278 ,J:265628 
MGI:105037,Ddx5,DEAD box helicase 5,11,,BMP signaling pathway,,,ISO,P17844 ,J:164563 
MGI:1329040,Dkk1,dickkopf WNT signaling pathway inhibitor 1,19,,negative regulation of BMP signaling pathway,,,IDA,,J:157031 
MGI:94901,Dlx1,distal-less homeobox 1,2,,negative regulation of BMP signaling pathway,,,ISO,P56177 ,J:164563 
MGI:94903,Dlx3,distal-less homeobox 3,11,,BMP signaling pathway,,,IMP,MGI:3813130 ,J:140203 
MGI:94903,Dlx3,distal-less homeobox 3,11,,BMP signaling pathway,,,IMP,MGI:3813133 ,J:140203 
MGI:101926,Dlx5,distal-less homeobox 5,6,,BMP signaling pathway,,,IMP,,J:196266 
MGI:2661061,Dsg4,desmoglein 4,18,,BMP signaling pathway,,,IDA,,J:142136 
MGI:1349469,Ecsit,ECSIT signalling integrator,9,,BMP signaling pathway,,,IDA,,J:86912 
MGI:95295,Egr1,early growth response 1,18,,BMP signaling pathway,,,IDA,,J:33445 
MGI:2443264,Elapor2,endosome-lysosome associated apoptosis and autophagy regulator family member 2,5,,positive regulation of BMP signaling pathway,,,IBA,PTN002733169 ,J:265628 
MGI:2443264,Elapor2,endosome-lysosome associated apoptosis and autophagy regulator family member 2,5,,positive regulation of BMP signaling pathway,,,IDA,,J:285010 
MGI:95392,Eng,endoglin,2,,positive regulation of BMP signaling pathway,,,ISO,P17813 ,J:164563 
MGI:99253,Etv2,ets variant 2,7,,BMP signaling pathway involved in mesodermal cell fate specification,,,IDA,,J:155850 
MGI:894663,Ext1,exostosin glycosyltransferase 1,15,,BMP signaling pathway,"is a part of mesodermal cell differentiation,is a part of stem cell differentiation",,IDA,,J:286754 
MGI:894663,Ext1,exostosin glycosyltransferase 1,15,,BMP signaling pathway,is a part of cellular response to BMP stimulus,,IMP,,J:196289 
MGI:894663,Ext1,exostosin glycosyltransferase 1,15,,BMP signaling pathway,,,IMP,,J:242977 
MGI:894663,Ext1,exostosin glycosyltransferase 1,15,,BMP signaling pathway,"is a part of mesodermal cell differentiation,is a part of stem cell differentiation",,IMP,,J:286754 
MGI:894663,Ext1,exostosin glycosyltransferase 1,15,,BMP signaling pathway,,,IMP,,J:286759 
MGI:1916890,Fam83g,"family with sequence similarity 83, member G",11,,BMP signaling pathway,,,IBA,PTN000415270 ,J:265628 
MGI:1916890,Fam83g,"family with sequence similarity 83, member G",11,,BMP signaling pathway,,,ISO,A6ND36 ,J:164563 
MGI:95489,Fbn1,fibrillin 1,2,,sequestering of BMP in extracellular matrix,,,IMP,,J:165256 
MGI:1915681,Fbxl15,F-box and leucine-rich repeat protein 15,19,,positive regulation of BMP signaling pathway,,,ISO,Q9H469 ,J:164563 
MGI:1341070,Fkbp8,FK506 binding protein 8,8,,BMP signaling pathway,happens in neural tube,,IMP,MGI:3042750 ,J:138713 
MGI:1341070,Fkbp8,FK506 binding protein 8,8,,positive regulation of BMP signaling pathway,positively regulates BMP signaling pathway,,IMP,MGI:3042750 ,J:138713 
MGI:1341070,Fkbp8,FK506 binding protein 8,8,,regulation of BMP signaling pathway,regulates BMP signaling pathway,,IGI,MGI:95728 ,J:138713 
MGI:1347463,Foxd1,forkhead box D1,13,,positive regulation of BMP signaling pathway,,,IMP,,J:95358 
MGI:95586,Fst,follistatin,13,,BMP signaling pathway,"happens in ameloblast,happens in lower jaw incisor epithelium",,IGI,MGI:88180 ,J:94518 
MGI:95586,Fst,follistatin,13,,regulation of BMP signaling pathway,,,IBA,PTN001657053 ,J:265628 
MGI:102793,Fstl1,follistatin-like 1,16,,regulation of BMP signaling pathway,,,IBA,PTN002588888 ,J:265628 
MGI:1890391,Fstl3,follistatin-like 3,10,,negative regulation of BMP signaling pathway,,,IDA,,J:66713 
MGI:1890391,Fstl3,follistatin-like 3,10,,negative regulation of BMP signaling pathway,,,ISO,O95633 ,J:164563 
MGI:1890391,Fstl3,follistatin-like 3,10,,regulation of BMP signaling pathway,,,IBA,PTN001657053 ,J:265628 
MGI:2443199,Fstl4,follistatin-like 4,11,,regulation of BMP signaling pathway,,,IBA,PTN002588888 ,J:265628 
MGI:2442179,Fstl5,follistatin-like 5,3,,regulation of BMP signaling pathway,,,IBA,PTN002588888 ,J:265628 
MGI:1196625,Fzd1,frizzled class receptor 1,5,,negative regulation of BMP signaling pathway,,,IDA,,J:88480 
MGI:95664,Gata4,GATA binding protein 4,14,,positive regulation of BMP signaling pathway,,,ISO,RGD:2665 ,J:155856 
MGI:107516,Gata6,GATA binding protein 6,18,,positive regulation of BMP signaling pathway,,,ISO,RGD:2666 ,J:155856 
MGI:95683,Gdf1,growth differentiation factor 1,8,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,BMP signaling pathway,,,ISO,Q9UK05 ,J:164563 
MGI:1321394,Gdf2,growth differentiation factor 2,14,,positive regulation of BMP signaling pathway,,,IDA,,J:164086 
MGI:95686,Gdf3,growth differentiation factor 3,6,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:95686,Gdf3,growth differentiation factor 3,6,,negative regulation of BMP signaling pathway,,,ISO,Q9NR23 ,J:164563 
MGI:95688,Gdf5,growth differentiation factor 5,2,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:95688,Gdf5,growth differentiation factor 5,2,,positive regulation of BMP signaling pathway,,,ISO,P43026 ,J:164563 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,,,IDA,,J:101432 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,,,IGI,MGI:107191 ,J:101432 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,,,IGI,MGI:1338938 ,J:101432 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,,,IMP,,J:229306 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,,,ISO,Q6KF10 ,J:164563 
MGI:95689,Gdf6,growth differentiation factor 6,4,,BMP signaling pathway,is a part of metanephros development,,TAS,,J:297363 
MGI:95690,Gdf7,growth differentiation factor 7,12,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:95690,Gdf7,growth differentiation factor 7,12,,BMP signaling pathway,,,IDA,,J:101432 
MGI:95690,Gdf7,growth differentiation factor 7,12,,BMP signaling pathway,,,IGI,MGI:107191 ,J:101432 
MGI:95690,Gdf7,growth differentiation factor 7,12,,BMP signaling pathway,,,IGI,MGI:1338938 ,J:101432 
MGI:95690,Gdf7,growth differentiation factor 7,12,,BMP signaling pathway,,,ISO,Q7Z4P5 ,J:164563 
MGI:95692,Gdf9,growth differentiation factor 9,11,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:95684,Gdf10,growth differentiation factor 10,14,,BMP signaling pathway,,,IBA,PTN000932183 ,J:265628 
MGI:104903,Gpc3,glypican 3,X,,positive regulation of BMP signaling pathway,,,IMP,MGI:2159356 ,J:99651 
MGI:1915776,Gpr155,G protein-coupled receptor 155,2,,negative regulation of BMP signaling pathway,,,IBA,PTN001107199 ,J:265628 
MGI:1344337,Grem1,"gremlin 1, DAN family BMP antagonist",2,,negative regulation of BMP signaling pathway,,,IMP,MGI:3046937 ,J:122530 
MGI:1344337,Grem1,"gremlin 1, DAN family BMP antagonist",2,,negative regulation of BMP signaling pathway,,,ISO,O60565 ,J:164563 
MGI:1344337,Grem1,"gremlin 1, DAN family BMP antagonist",2,,sequestering of BMP from receptor via BMP binding,,,IBA,PTN002309998 ,J:265628 
MGI:1344367,Grem2,"gremlin 2, DAN family BMP antagonist",1,,negative regulation of BMP signaling pathway,uses UniProtKB:P21274,,IMP,,J:200257 
MGI:1344367,Grem2,"gremlin 2, DAN family BMP antagonist",1,,sequestering of BMP from receptor via BMP binding,,,IBA,PTN002309998 ,J:265628 
MGI:1344367,Grem2,"gremlin 2, DAN family BMP antagonist",1,,sequestering of BMP from receptor via BMP binding,,,IMP,,J:200257 
MGI:104853,Hes1,hes family bHLH transcription factor 1,16,,BMP signaling pathway,happens in choroid invagination,,IGI,MGI:104876 ,J:139170 
MGI:104853,Hes1,hes family bHLH transcription factor 1,16,,positive regulation of BMP signaling pathway,positively regulates BMP signaling pathway,,IGI,MGI:104876 ,J:139170 
MGI:104876,Hes5,hes family bHLH transcription factor 5,4,,BMP signaling pathway,happens in choroid invagination,,IGI,MGI:104853 ,J:139170 
MGI:104876,Hes5,hes family bHLH transcription factor 5,4,,positive regulation of BMP signaling pathway,positively regulates BMP signaling pathway,,IGI,MGI:104853 ,J:139170 
MGI:109191,Hfe,homeostatic iron regulator,13,,BMP signaling pathway,,,ISO,Q30201 ,J:164563 
MGI:1314872,Hipk2,homeodomain interacting protein kinase 2,6,,negative regulation of BMP signaling pathway,,,ISO,Q9H2X6 ,J:164563 
MGI:96100,Hivep1,human immunodeficiency virus type I enhancer binding protein 1,13,,BMP signaling pathway,,,ISO,P15822 ,J:164563 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,IBA,PTN001265550 ,J:265628 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,IGI,MGI:107191 ,J:109016 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,IGI,MGI:109452 ,J:109016 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,happens in hepatocyte,,IGI,MGI:1321394 ,J:182123 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,IGI,MGI:1338938 ,J:109016 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,IGI,MGI:88177 ,J:109016 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,happens in hepatocyte,,IGI,MGI:88177 ,J:182123 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,happens in hepatocyte,,IGI,MGI:88180 ,J:182123 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,happens in liver,,IMP,MGI:3587746 ,J:109016 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,IMP,MGI:3587746 ,J:212210 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,BMP signaling pathway,,,ISO,Q6ZVN8 ,J:164563 
MGI:1916835,Hjv,hemojuvelin BMP co-receptor,3,,negative regulation of BMP signaling pathway,,,IGI,MGI:88177 ,J:160796 
MGI:96173,Hoxa13,homeobox A13,6,,regulation of BMP signaling pathway,regulates BMP signaling pathway,,IMP,MGI:2152356 ,J:83431 
MGI:1929076,Htra1,HtrA serine peptidase 1,7,,negative regulation of BMP signaling pathway,,,IDA,,J:88556 
MGI:1925808,Htra3,HtrA serine peptidase 3,5,,negative regulation of BMP signaling pathway,,,IDA,,J:91306 
